date,open,high,low,close,adj_close,volume,dividend,split
2000/12/12,1666.37,1694.42,1643.95,1667.07,780.6800000000001,224016800,0.0,30.0
2000/12/13,1682.66,1701.77,1644.46,1662.6299999999999,776.66,254934100,0.0,30.0
2000/12/14,1649.1399999999999,1674.47,1615.12,1636.83,762.45,225297500,0.12,30.0
2000/12/15,1620.81,1641.6499999999999,1583.02,1599.72,741.75,418062400,0.0,30.0
2000/12/18,1616.92,1656.65,1590.9,1624.3,752.89,326538400,0.0,30.0
2000/12/19,1619.7,1666.4099999999999,1590.12,1612.4,748.09,340359900,0.0,30.0
2000/12/20,1581.54,1627.82,1555.98,1584.73,730.78,441911700,0.06,30.0
2000/12/21,1585.44,1634.49,1558.69,1607.79,742.55,278534200,0.0,30.0
2000/12/22,1616.2,1652.21,1587.63,1630.27,755.19,265859300,0.0,30.0
2000/12/26,1571.26,1606.07,1547.02,1586.1399999999999,759.6,175474750,0.0,31.0
2000/12/27,1580.08,1625.81,1565.56,1602.55,766.21,220381100,0.27,30.0
2000/12/28,1601.79,1641.18,1579.68,1620.45,775.45,228723300,0.0,30.0
2000/12/29,1624.5,1647.49,1594.81,1611.66,771.38,268525800,0.0,30.0
2000/12/4,1608.6,1656.85,1584.16,1630.83,753.37,243486600,0.0,30.0
2000/12/5,1649.56,1709.8899999999999,1621.07,1681.13,783.5699999999999,364114400,0.0,30.0
2000/12/6,1669.37,1698.32,1626.06,1645.99,767.79,378896100,0.55,30.0
2000/12/7,1640.74,1667.77,1612.88,1638.42,763.79,287624300,0.0,30.0
2000/12/8,1654.6,1690.09,1631.46,1666.62,781.73,308536000,0.0,30.0
2000/2/1,1964.1399999999999,2012.72,1932.15,1984.84,782.54,196896400,0.0,30.0
2000/2/10,1940.95,1974.92,1905.0,1943.39,766.5,170717000,0.0,30.0
2000/2/11,1934.84,1960.1499999999999,1875.57,1900.76,750.9,205739100,0.28,30.0
2000/2/14,1907.06,1942.65,1874.97,1911.04,754.13,163558367,0.0,30.0
2000/2/15,1910.84,1960.21,1883.05,1939.86,761.02,194689633,0.0,30.0
2000/2/16,1930.81,1957.23,1884.96,1906.56,748.97,171903500,0.87,30.0
2000/2/17,1922.12,1948.3,1870.0,1902.62,746.82,199408867,0.0,30.0
2000/2/18,1901.1,1911.91,1822.21,1838.46,723.9300000000001,207083200,0.0,30.0
2000/2/2,1983.3899999999999,2010.79,1945.22,1968.34,777.81,173702200,0.0,30.0
2000/2/22,1840.75,1883.9,1795.83,1849.3899999999999,725.93,196349033,0.0,30.0
2000/2/23,1850.51,1898.27,1813.08,1861.07,732.55,214877667,0.58,30.0
2000/2/24,1860.13,1881.66,1789.36,1837.3,728.64,248015233,0.0,30.0
2000/2/25,1830.27,1856.96,1772.49,1796.33,715.8,195034800,0.0,30.0
2000/2/28,1793.96,1851.04,1761.91,1818.43,719.54,207226300,0.0,30.0
2000/2/29,1831.99,1864.05,1795.44,1828.22,725.07,183002300,0.0,30.0
2000/2/3,1975.49,2000.98,1930.92,1969.49,775.03,172696734,0.03,30.0
2000/2/4,1975.18,2003.75,1943.25,1966.67,772.59,169009334,0.0,30.0
2000/2/7,1968.55,1999.54,1935.29,1975.45,773.45,149823000,0.0,30.0
2000/2/8,1991.85,2026.75,1948.7,1992.72,787.22,187332667,0.12,30.0
2000/2/9,1996.31,2010.64,1925.5,1938.33,766.31,202177000,0.14,30.0
2000/3/1,1840.68,1891.26,1803.97,1856.06,726.43,208140833,0.29,30.0
2000/3/10,1829.86,1878.71,1788.07,1821.76,724.0699999999999,216240234,0.0,30.0
2000/3/13,1782.63,1853.3600000000001,1766.53,1811.69,720.72,199338967,0.17,30.0
2000/3/14,1823.05,1852.7,1764.34,1783.33,707.16,217712134,0.0,30.0
2000/3/15,1786.45,1869.47,1761.17,1840.06,730.03,239712733,0.06,30.0
2000/3/16,1873.71,1947.25,1837.05,1923.34,763.1,276094234,0.12,30.0
2000/3/17,1915.86,1979.83,1886.81,1945.21,776.9100000000001,248883800,0.0,30.0
2000/3/2,1855.71,1888.91,1817.68,1846.28,727.03,192904633,0.0,30.0
2000/3/20,1943.83,1982.69,1901.47,1934.95,772.17,187981467,0.0,30.0
2000/3/21,1928.47,2015.8700000000001,1903.27,1997.4,793.48,207913034,0.0,30.0
2000/3/22,1990.38,2035.5,1950.8,2004.67,792.13,212100100,0.0,30.0
2000/3/23,1921.4,1985.91,1896.42,1957.24,801.23,251808267,0.0,31.0
2000/3/24,1955.55,2007.06,1919.3799999999999,1960.6399999999999,806.62,278241900,0.0,30.0
2000/3/27,1953.26,1989.97,1910.48,1944.16,801.75,226765700,0.0,30.0
2000/3/28,1926.3899999999999,1983.33,1905.3899999999999,1938.59,798.75,215214233,0.0,30.0
2000/3/29,1943.95,1987.53,1906.19,1948.6599999999999,804.57,229552500,0.27,30.0
2000/3/3,1873.38,1921.79,1837.3700000000001,1885.85,743.78,199715833,0.0,30.0
2000/3/30,1940.15,1994.27,1890.94,1927.92,797.25,253339700,0.03,30.0
2000/3/31,1946.42,1989.57,1897.43,1939.31,796.25,219249900,0.0,30.0
2000/3/6,1886.23,1904.09,1831.12,1851.32,730.79,175067967,0.0,30.0
2000/3/7,1833.59,1866.42,1753.89,1788.58,708.27,302292000,0.04,30.0
2000/3/8,1789.4,1828.43,1742.45,1788.53,709.97,245772500,0.0,30.0
2000/3/9,1791.25,1847.44,1757.9,1828.9,728.5,213273067,0.0,30.0
2000/4/10,1936.43,1982.03,1900.65,1933.72,798.89,175492400,0.0,30.0
2000/4/11,1930.78,1974.98,1897.33,1941.01,800.77,211946900,0.0,30.0
2000/4/12,1949.34,1993.73,1876.6399999999999,1902.16,780.39,316367434,0.0,30.0
2000/4/13,1910.82,1942.74,1844.95,1874.49,765.07,288667634,0.0,30.0
2000/4/14,1840.57,1868.87,1734.09,1771.94,718.42,266262433,0.0,30.0
2000/4/17,1758.04,1845.24,1727.58,1826.01,739.9399999999999,231426933,0.0,30.0
2000/4/18,1834.5,1892.18,1803.26,1866.3,757.52,277449200,0.32,30.0
2000/4/19,1862.52,1894.76,1810.67,1842.05,748.64,225411667,0.44,30.0
2000/4/20,1841.41,1882.57,1809.83,1853.28,753.04,178921334,0.08,30.0
2000/4/24,1821.07,1890.57,1797.93,1860.05,751.77,348918967,0.0,30.0
2000/4/25,1874.24,1932.56,1838.49,1912.68,776.08,261642300,0.0,30.0
2000/4/26,1909.38,1938.58,1856.26,1880.67,769.61,242615233,0.0,30.0
2000/4/27,1849.47,1907.34,1825.54,1883.75,767.1,211225233,0.0,30.0
2000/4/28,1891.9,1909.47,1837.41,1865.66,762.88,188878900,0.0,30.0
2000/4/3,1941.17,1999.7,1903.96,1962.11,805.4,319644300,0.0,30.0
2000/4/4,1972.78,2009.32,1837.74,1936.17,793.67,318160400,0.48,30.0
2000/4/5,1916.65,1965.48,1881.74,1919.36,788.07,241616700,0.0,30.0
2000/4/6,1927.96,1969.47,1888.67,1925.8899999999999,796.45,194535667,0.38,30.0
2000/4/7,1937.51,1966.99,1898.75,1931.91,794.95,182760900,0.0,30.0
2000/5/1,1871.58,1916.75,1843.9,1876.52,768.02,198021934,0.0,30.0
2000/5/10,1799.52,1827.93,1752.58,1780.28,728.88,277967334,0.14,30.0
2000/5/11,1698.6200000000001,1735.77,1675.29,1715.11,739.53,197959867,0.0,32.0
2000/5/12,1715.0,1750.71,1693.41,1722.79,741.37,150698567,0.0,30.0
2000/5/15,1722.76,1767.45,1699.56,1748.16,755.92,164667000,0.0,30.0
2000/5/16,1765.41,1797.25,1731.03,1764.8,761.3199999999999,195248300,0.0,30.0
2000/5/17,1745.06,1763.25,1717.29,1736.74,750.51,169487300,1.45,30.0
2000/5/18,1735.6200000000001,1768.26,1715.56,1734.36,747.64,193025067,0.0,30.0
2000/5/19,1714.89,1742.71,1680.33,1710.15,739.11,235961667,0.32,30.0
2000/5/2,1868.1100000000001,1902.6200000000001,1826.58,1853.18,760.36,183664934,0.0,30.0
2000/5/22,1712.79,1730.53,1657.31,1701.95,736.45,237263500,0.0,30.0
2000/5/23,1700.54,1730.32,1659.81,1680.89,728.46,195474767,0.0,30.0
