date,open,high,low,close,adj_close,volume,dividend,split,DIFF,DEA,MACD,MACDS
2018/10/17,132.59633333333332,133.92866666666666,131.145,132.77866666666668,119.95833333333333,9122496.866666667,0.0,1.0,2.112039193322545,2.5508899346888527,-0.43885074136630786,-0.8777014827326157
2018/10/18,132.38733333333332,133.09033333333335,129.929,131.012,118.43133333333334,9985783.833333334,0.024,1.0,1.9377750568716579,2.4282669591254136,-0.4904919022537557,-0.9809838045075114
2018/10/19,131.35833333333332,132.841,130.15966666666665,131.189,118.54966666666665,10813404.066666666,0.028666666666666667,1.0,1.7932800775226951,2.3012695828048697,-0.5079895052821746,-1.0159790105643491
2018/10/2,137.48166666666665,138.78233333333336,136.73033333333333,138.0883333333333,124.68066666666667,8003502.6,0.0,1.0,2.210009689210125,2.283017604085921,-0.07300791487579605,-0.1460158297515921
2018/10/22,131.598,132.409,129.70033333333333,130.64733333333334,118.01266666666668,9503303.933333334,0.0,1.0,1.9177379070369227,2.209961664676121,-0.2922237576391984,-0.5844475152783968
2018/10/23,128.41666666666666,130.81733333333332,126.96733333333333,129.85033333333334,117.212,13060583.766666668,0.0,1.0,1.6033171328894014,2.088632758318777,-0.4853156254293758,-0.9706312508587516
2018/10/24,130.11966666666666,131.15066666666667,125.981,126.57366666666667,114.30166666666668,14744588.666666666,0.0,1.0,1.0773181354854273,1.886369833752107,-0.8090516982666798,-1.6181033965333596
2018/10/25,127.42166666666667,129.73366666666666,125.89066666666668,128.736,116.27033333333334,13068887.7,0.0,1.0,0.8254273562982632,1.6741813382613384,-0.8487539819630752,-1.6975079639261503
2018/10/26,127.268,128.80133333333333,125.453,127.10766666666667,114.80133333333333,14928716.0,0.0,1.0,0.4887749146031126,1.4371000535296932,-0.9483251389265805,-1.896650277853161
2018/10/29,128.082,129.45033333333333,123.916,125.722,113.70733333333332,13472670.333333334,0.0,1.0010000000000001,0.10890828271919872,1.1714616993675944,-1.0625534166483956,-2.1251068332967913
2018/10/3,138.71033333333335,139.57933333333332,137.676,138.38933333333335,124.907,8313903.5,0.0,1.0,0.8205503808228798,1.1012794356586515,-0.2807290548357717,-0.5614581096715434
2018/10/30,125.846,128.57133333333334,124.643,127.86066666666667,115.71033333333334,13979955.866666667,0.0,1.0,0.5288600924711773,0.9867955670211567,-0.4579354745499794,-0.9158709490999588
2018/10/31,128.97666666666666,130.996,128.105,129.269,116.92833333333333,13476459.1,0.0,1.0,0.40664659864418695,0.8707657733457628,-0.4641191747015758,-0.9282383494031516
2018/10/4,138.07299999999998,138.71866666666668,136.00666666666666,137.18133333333333,123.89933333333333,8891795.5,0.050666666666666665,1.0,0.9374444223944067,0.8841015031554915,0.05334291923891521,0.10668583847783042
2018/10/5,137.23100000000002,138.0103333333333,135.331,136.36966666666666,123.222,8012746.3,0.0,1.0,1.2778801978219576,0.9628572420887848,0.31502295573317285,0.6300459114663457
2018/10/8,135.892,137.13033333333334,134.51566666666665,136.37366666666668,123.21733333333333,8316851.966666667,0.0,1.0,1.5303597347202356,1.0763577406150748,0.45400199410516073,0.9080039882103215
2018/10/9,136.16500000000002,137.3046666666667,135.06866666666667,136.15800000000002,122.97266666666665,8178018.533333333,0.02,1.0,1.6935271621888148,1.1997916249298228,0.493735537258992,0.987471074517984
2018/11/1,129.65666666666667,131.12199999999999,128.51666666666668,130.33066666666667,117.866,11343451.5,0.0,1.0,1.3372069358975693,1.2272746871233722,0.10993224877419716,0.21986449754839432
2018/11/12,133.023,133.64633333333333,129.72133333333332,130.14566666666667,118.42,10554674.066666666,0.0,1.0,1.0280420071976266,1.187428151138223,-0.15938614394059636,-0.3187722878811927
